year	unitbox	f_band	f_rfid	m_band	m_rfid	note	j_first_egg	j_incub	j_hatch	j_fate	j_install
2020	1_9	240150396	04195A336B	281174585	04198EA923		149	154	168	192	157
2020	1_12	240150388	04195A66A5	281174138	04198EA040		146	151	164	176	154
2020	1_16	240150397	04198EA2A0	281174586	041917BF5E		149	154	168	192	157
2020	1_32	281128450	04198E51A6	281174108	04189443BB		142	146	160	184	149
2020	1_47	240150393	04195A3586	272106628	04195A3D53		148	152	168	192	155
2020	1_48	240150381	04198E99E4	278171893	04198E36A4		140	145	160	165	148
2020	1_51	281128556	04198E31BE	281174103	04186E9904		143	147	160	184	150
2020	1_61	281128560	04198E6F5D	281174115	04198E7D13		146	150	163	187	153
2020	1_77	240150391	04195A27DA	281174443	04198EA293		148	152	167	189	155
2020	1_80	281128559	04198E9048	272107634	04195A627D		143	148	161	185	151
2020	1_81	240150377	04198E319B	281174102	04198E989A		137	142	157	181	145
2020	1_86	281128558	04198E8BF0	272107529	041917B329		143	147	161	188	150
2020	1_94	281128451	0419597E11	281174101	04198E1D91		142	146	159	183	149
2020	1_104	281174516	04198E3B0B	281128435	04198E0E4E		145	149		155	152
2020	1_105	240150383	04198E96B3				144	148	161	185	151
2020	1_125	240150382	04198E3FDC	281128570	041917A91B		143	148	162	185	151
2020	1_127	281174517	04198E3550	281128546	04198E722D		145	149	163	187	152
2020	1_134	240150379	04198E05A5	272106615	041917B3EC		140	144	159	183	147
2020	1_302	240150385	04198E4D18				143	148	161	185	
2020	1_303	278172095	04198E835D	240151291	04198E5EDB		136	141	155	179	
2020	1_305	278172231	04198E2948				142	146	159	183	
2020	1_309	272107378	04198E4781	240150395	041917C3A0		134	139	154	178	
2020	1_312	281128703	04198E5549				145	150	162	185	
2020	1_314	240150394	041868DBF1				150	153	168	195	
2020	1_315	281128645	04198E0243				142	146	160	183	
2020	1_318	281128705	041917B8D5				139	144	158	182	
2020	1_319	240150378	04198E1769				139	143	157	181	
2020	1_325	281128557	04198E58C0				142	147	161	183	
2020	1_330	272107790	04198E59EB				140	145	157	181	
2020	1_338	212110288	04198E24F9				139	143	156	180	
2020	1_343	278172151	04198E176D	281174314			141	146	160	183	
2020	1_346	240150387	04195A5885				143	149	162	185	
2020	1_348	278172096	04198E4B47				139	144	157	181	
2020	1_350	212110278	04198EA483	240150390	04195A6C90		131	138	152	176	
2020	1_353	281128704	04198E725D				143	147	160	183	
2020	1_358	240150384	04198E3614				145	148	162	185	
2020	1_364	232146953	04195974BD				140	144	158	182	
2020	1_366	278172150	04198E1CC6				137	142	156	180	
2020	1_369	156181153	04195A5167	281174106	041917C448		140	145	157	184	
2020	1_371	281128701	04198E9F39	272107009	04198E5A18		134	139	153	177	
2020	1_377	281128805	04198E0443				141	146	160	183	
2020	1_381	88004749	04198E9468				140	145	158	182	
2020	1_391	281128627	04195A50BD				146	150	165	195	
2020	1_397	240150386	041868BE5C				144	149	162	185	
2020	1_412	240150389	04195A43F1				148	151		159	
2020	1_422	240150376	04198E1ACD				137	141	156	180	
2020	1_429	240150392	04195A1D9B				146	152	166	192	
2020	1_431	240150380	04198E8911				140	144	158	182	
2020	1_432	240150399	04198E9A8A				151	155	168	192	
2020	1_437	240150375	04198E1E35	240150398	04195A39B7		137	141	155	179	
2020	2_3	281128598	04198E0718	281128599	04191796EE		141	146	159	183	149
2020	2_6	281174502	04198E160F	281128744	04198E077F		139	143	157	181	146
2020	2_7	281128548	04198E62D2	272107789	04198E2C1D		138	142	156	180	145
2020	2_10	281128553	041917BC6D	278171892	04195A217C		139	144	157	181	147
2020	2_14	281174503	04198EAA7C	272107816	04198E15CA		139	143	157	181	146
2020	2_17	281174518	04195A64DE	281174554	04198E7890		146	150	163	187	153
2020	2_19	281174510	04198EA4E8	281128631	041917C2D6		142	146	160	184	149
2020	2_21	281128562	419179028	281128656	04198E4C68		147	152	165	189	156
2020	2_24	281174331	04198EA7AE				162	165	181	210	140
2020	2_25	281128404	04195A59E7	281174538	04198E813A		141	146	159	183	149
2020	2_28	281128737	04198E7007	278172168	04198E9F08		141	145	158	182	148
2020	2_29	272107361	04198E18E4	272107257	04198E8CDF		140	145	158	182	148
2020	2_31	88004754	04195984BC	278172169	04198E4E1E		136	141	155	161	134
2020	2_34	272107805	04198E93C3	281174521	04195A2368		134	138	153	177	134
2020	2_35	281174509	04195A390B	281128516	04198E96B7		139	146	159	183	134
2020	2_37	278171877	04195A34D0	272106914	04198E7952		140	146	159	183	149
2020	2_39	281174508	04198E2BF2	272107817	04198E700D		140	146	159	183	134
2020	2_44	281128816	04198E0DB2	272106957	04198E0727		143	148	162	185	152
2020	2_48	281174501	04198E3611	281128773	04198E954F		135	140	154	178	144
2020	2_51	281128555	04198E952D	281174523	04198E9811		142	146	159	183	149
2020	2_56	281128554	04191793F2				140	144		155	147
2020	2_66	278172163	04195A4268	272107774	04198E8098		142	146	159	183	149
2020	2_70	278172313	04198E8C16	281128565	0419179E8D		142	146	159	183	150
2020	2_74	281128550	04198EA8F4	240150400	04198E1938		137	142	156	180	145
2020	2_76	281128564	04198E1B91	281174450	04198E60AA		152	155	170	192	158
2020	2_79	278172154	04195A30B4	278172170	04195A4C62		139	144	158	182	147
2020	2_84	281174504	04198E1E68	281128563	041917CB10		140	144	158	182	147
2020	2_87	281174512	04198EA628				142	147		160	150
2020	2_90	281174511	04198E3FEF	281174524	04198E12A4		142	147	160	184	138
2020	2_91	278172469	04198E6967	281174702	04198EAC97		140	145	159	183	138
2020	2_93	281128551	04198E716F	278172255	04198EA20F		140	143	158	182	131
2020	2_96	281128602	04198E930A	278172287	04198EA878		143	148	163	187	138
2020	2_97	281174514	04198E41E8	278172245	04198E9F9D		144	148	162	180	152
2020	2_100	281174506	04198EA55F	281174522	04198E0EF5		140	144	158	182	131
2020	2_102	281128561	041917BF5C	272106664	04198EAB87		148	151	165	189	154
2020	2_103	281128549	04198EA806	278172199	04198E4122		137	141	155	179	145
2020	2_105	272107748	0419599DAD	281174519	04195A3CAA		136	141	154	178	131
2020	2_107	281174505	04198E7981	263114244	041917ABF0		140	144		153	138
2020	2_109	281174340	0419179E86				161	163	179	210	140
2020	2_110	281174513	04198E4065	281174107	041917B18D		142	147	160	184	150
2020	2_113	281175330	04198E2719				164	167	181	210	140
2020	2_114	278172145	04198EAE68	281174520	04195A4DDC		136	141	154	178	131
2020	2_115	272107217	419599803	272107690	04198E836E		133	138	152	176	131
2020	2_117	278171875	0419SA4AF8	281128726	04195A5B0C		140	145	158	182	131
2020	2_119	281174507	04198E6A3C	281174703	04198E41F1		140	145	159	171	148
2020	2_120	281128552	04198E0063	281174104	04198E653D		139	143	157	181	147
2020	2_121						139	145		148	148
2020	2_122	281174525	04198E1814	262126105			153	158	171	192	160
2020	2_124	278171872	04198E288C	281174105	04198E0190		139	144	158	170	147
2020	2_126	281174701	04198E7AF4	281128625	04198E9FA4		151	156	171	192	160
2020	2_127	281174515	04198E0444	281128547	04198E0370		142	147		155	150
2020	TF_5						139	145	158	182	140
2020	TF_8						141	145	158	182	140
2020	TF_10						143	148	160	184	140
2020	TF_19						141	146	159	183	140
2020	TF_23						138	141	157	181	140
2020	TF_25						136	141	156	180	140
2020	TF_29						143	146	160	184	140
