UnitBox	Unit	Box	Latitude	Longitude	LatUTM	LongUTM
1_6	1	6	42.50304	-76.46353	379752	4706668
1_7	1	7	42.50304	-76.46376	379733	4706669
1_8	1	8	42.50321	-76.46402	379712	4706688
1_9	1	9	42.50299	-76.46404	379710	4706664
1_11	1	11	42.50301	-76.46453	379670	4706666
1_12	1	12	42.50297	-76.46475	379652	4706662
1_13	1	13	42.50295	-76.46499	379632	4706660
1_14	1	14	42.50294	-76.46522	379613	4706660
1_15	1	15	42.50314	-76.46526	379610	4706682
1_16	1	16	42.50312	-76.46504	379628	4706679
1_17	1	17	42.50331	-76.46503	379629	4706700
1_18	1	18	42.50333	-76.46529	379608	4706703
1_19	1	19	42.50355	-76.46527	379610	4706727
1_20	1	20	42.50352	-76.46515	379620	4706724
1_21	1	21	42.50375	-76.46503	379630	4706749
1_22	1	22	42.50382	-76.46526	379611	4706757
1_23	1	23	42.50386	-76.46505	379629	4706762
1_24	1	24	42.50407	-76.46508	379627	4706785
1_25	1	25	42.5042	-76.46523	379615	4706800
1_26	1	26	42.50409	-76.46532	379607	4706788
1_27	1	27	42.50413	-76.46555	379588	4706792
1_28	1	28	42.50434	-76.46547	379595	4706815
1_29	1	29	42.50442	-76.46563	379582	4706825
1_117	1	117	42.50388	-76.46557	379586	4706765
1_30	1	30	42.50375	-76.46576	379570	4706750
1_31	1	31	42.50368	-76.46558	379585	4706742
1_32	1	32	42.50351	-76.46573	379572	4706724
1_33	1	33	42.50353	-76.46571	379574	4706726
1_34	1	34	42.50331	-76.46548	379592	4706701
1_35	1	35	42.5032	-76.46574	379571	4706689
1_36	1	36	42.50314	-76.46557	379585	4706682
1_37	1	37	42.50298	-76.46554	379587	4706665
1_37A	1	37A	42.50302	-76.46589	379558	4706669
1_38	1	38	42.5031	-76.46594	379554	4706678
1_39	1	39	42.50332	-76.46597	379552	4706703
1_40	1	40	42.50346	-76.46601	379549	4706719
1_41	1	41	42.50363	-76.46604	379547	4706737
1_42	1	42	42.50385	-76.466	379551	4706762
1_43	1	43	42.504	-76.46599	379552	4706778
1_44	1	44	42.50421	-76.46597	379554	4706802
1_45	1	45	42.50468	-76.46569	379578	4706854
1_46	1	46	42.50486	-76.46575	379573	4706874
1_47	1	47	42.50505	-76.46574	379574	4706895
1_48	1	48	42.505	-76.46548	379596	4706889
1_49	1	49	42.50493	-76.46524	379615	4706881
1_50	1	50	42.50521	-76.46527	379613	4706912
1_51	1	51	42.50531	-76.46531	379610	4706923
1_58	1	58	42.50537	-76.46556	379590	4706930
1_60	1	60	42.50539	-76.46565	379582	4706932
1_62	1	62	42.50562	-76.46611	379545	4706959
1_63	1	63	42.50586	-76.46609	379547	4706985
1_64	1	64	42.50599	-76.46623	379536	4707000
1_xx	1	xx	42.50546	-76.46591	379561	4706940
1_xxx	1	xxx	42.5055	-76.46513	379625	4706944
1_65	1	65	42.50559	-76.46638	379523	4706956
1_66	1	66	42.50537	-76.46621	379536	4706931
1_67	1	67	42.50534	-76.46652	379511	4706928
1_68	1	68	42.50552	-76.46658	379506	4706948
1_74	1	74	42.50556	-76.46681	379487	4706953
1_69	1	69	42.50573	-76.46665	379501	4706972
1_70	1	70	42.50594	-76.46652	379512	4706995
1_71	1	71	42.50591	-76.46675	379493	4706992
1_72	1	72	42.50586	-76.467	379472	4706986
1_73	1	73	42.50568	-76.46707	379466	4706967
1_106	1	106	42.50557	-76.46717	379458	4706954
1_75	1	75	42.50541	-76.46701	379471	4706936
1_107	1	107	42.50541	-76.46705	379467	4706937
1_108	1	108	42.50545	-76.46741	379438	4706941
1_114	1	114	42.50552	-76.46759	379423	4706950
1_109	1	109	42.50571	-76.46745	379435	4706970
1_110	1	110	42.50585	-76.46726	379451	4706986
