band	rfid	sex	first_access	first_ac_age	first_foxpro	first_fox_age	fox_chick	first_year	first_age	known_age	age2013	age2014	age2015	age2016	age2017	age2018	age2019	age2020
185142392		female	2013	ASY	2006	ASY		2006	2	no	9	10	11	12	13	14	15	16
312162642		female	2013	ASY	2008	ASY		2008	2	no	7	8	9	10	11	12	13	14
312162640		female	2013	ASY	2008	ASY		2008	2	no	7	8	9	10	11	12	13	14
222153407		female	2013	ASY	2009	ASY	2007	2007	0	yes	6	7	8	9	10	11	12	13
222153336		female	2013	ASY	2010	ASY	2007	2007	0	yes	6	7	8	9	10	11	12	13
222153869		female	2013	ASY	2008	SY	2007	2007	0	yes	6	7	8	9	10	11	12	13
222154419		female	2013	ASY	2008	SY		2008	1	no	6	7	8	9	10	11	12	13
222153369		female	2013	ASY	2010	ASY	2007	2007	0	yes	6	7	8	9	10	11	12	13
312162630		female	2013	ASY	2008	SY		2008	1	no	6	7	8	9	10	11	12	13
191124747		female	2013	ASY	2009	ASY		2009	2	no	6	7	8	9	10	11	12	13
222153402		female	2013				2007	2007	0	yes	6	7	8	9	10	11	12	13
222154542		male	2013	AHY	2012	AHY	2008	2008	0	yes	5	6	7	8	9	10	11	12
222154166		female	2013	ASY	2010	ASY		2010	2	no	5	6	7	8	9	10	11	12
232173199		female	2013	ASY	2009	SY		2009	1	no	5	6	7	8	9	10	11	12
222154169		female	2013	ASY	2010	ASY		2010	2	no	5	6	7	8	9	10	11	12
222154163		female	2013	ASY	2010	ASY		2010	2	no	5	6	7	8	9	10	11	12
222154531		female	2013	ASY	2009	SY	2008	2008	0	yes	5	6	7	8	9	10	11	12
232173314		female	2013	ASY	2011	ASY	2008	2008	0	yes	5	6	7	8	9	10	11	12
312162672		female	2013	ASY	2009	SY	2008	2008	0	yes	5	6	7	8	9	10	11	12
222154848	0417CA7E65	female	2013	ASY	2009	SY	2008	2008	0	yes	5	6	7	8	9	10	11	12
232173136		female	2013	ASY	2009	SY	2008	2008	0	yes	5	6	7	8	9	10	11	12
191124766		female	2013	ASY	2009	SY		2009	1	no	5	6	7	8	9	10	11	12
191124743		female	2013	ASY	2009	SY		2009	1	no	5	6	7	8	9	10	11	12
191124755		female	2013	ASY	2009	SY		2009	1	no	5	6	7	8	9	10	11	12
191124782		female	2013	ASY	2009	SY		2009	1	no	5	6	7	8	9	10	11	12
239152956		female	2013	ASY	2010	ASY		2010	2	no	5	6	7	8	9	10	11	12
232173915		female	2013	ASY	2009	SY		2009	1	no	5	6	7	8	9	10	11	12
232173334		female	2013	ASY	2009	SY	2008	2008	0	yes	5	6	7	8	9	10	11	12
312162651		female	2013	ASY	2009	SY	2008	2008	0	yes	5	6	7	8	9	10	11	12
232173070		male	2013	AHY	2012	AHY	2008	2008	0	yes	5	6	7	8	9	10	11	12
222154447		male	2014	AHY	2010	AHY	2008	2008	0	yes	5	6	7	8	9	10	11	12
232173269		female	2013	ASY	2010	SY		2010	1	no	4	5	6	7	8	9	10	11
239152301		female	2013	ASY	2011	ASY	2009	2009	0	yes	4	5	6	7	8	9	10	11
240150610		female	2013	ASY	2011	ASY		2011	2	no	4	5	6	7	8	9	10	11
239152515		female	2013	ASY	2010	ASY	2009	2009	0	yes	4	5	6	7	8	9	10	11
240150318		female	2013	ASY	2011	ASY		2011	2	no	4	5	6	7	8	9	10	11
240150418		female	2013	ASY	2011	ASY		2011	2	no	4	5	6	7	8	9	10	11
240150421		female	2013	ASY	2011	ASY		2011	2	no	4	5	6	7	8	9	10	11
240150406		female	2013	ASY	2011	ASY		2011	2	no	4	5	6	7	8	9	10	11
232173261		female	2013	ASY	2010	SY		2010	1	no	4	5	6	7	8	9	10	11
239159063		female	2013	ASY	2010	SY		2010	1	no	4	5	6	7	8	9	10	11
232173268		female	2013	ASY	2010	SY		2010	1	no	4	5	6	7	8	9	10	11
239159802		female	2013	ASY	2010	SY		2010	1	no	4	5	6	7	8	9	10	11
240150431		female	2013	ASY	2011	ASY		2011	2	no	4	5	6	7	8	9	10	11
239152961		female	2013	ASY	2010	SY		2010	1	no	4	5	6	7	8	9	10	11
240150441		female	2013	ASY	2011	ASY		2011	2	no	4	5	6	7	8	9	10	11
240150614		female	2013	ASY	2011	ASY		2011	2	no	4	5	6	7	8	9	10	11
240150642		female	2013	ASY	2011	ASY		2011	2	no	4	5	6	7	8	9	10	11
239159759		male	2013	AHY	2010	AHY		2010	1	no	4	5	6	7	8	9	10	11
239159073		male	2013	AHY	2010	AHY		2010	1	no	4	5	6	7	8	9	10	11
240150609		female	2013		2011	ASY		2011	2	no	4	5	6	7	8	9	10	11
239152800		female	2013				2009	2009	0	yes	4	5	6	7	8	9	10	11
240150355	041959C23E	female	2013	ASY	2011	ASY		2011	2	no	4	5	6	7	8	9	10	11
239152233		female	2013	ASY	2010	SY	2009	2009	0	yes	4	5	6	7	8	9	10	11
239159366		male	2013	AHY	2010	AHY		2010	1	no	4	5	6	7	8	9	10	11
240150648		female	2013	AHY	2011	ASY		2011	2	no	4	5	6	7	8	9	10	11
239152572		female	2013	ASY	2010	SY		2010	1	no	4	5	6	7	8	9	10	11
239152977		male	2013	AHY	2010	AHY		2010	1	no	4	5	6	7	8	9	10	11
232173282		male	2013	AHY	2010	AHY		2010	1	no	4	5	6	7	8	9	10	11
239159375	0417CAA06A	male	2013	AHY	2010	AHY		2010	1	no	4	5	6	7	8	9	10	11
232173277		female	2013	ASY	2010	SY		2010	1	no	4	5	6	7	8	9	10	11
232173808		female	2013	ASY	2010	SY	2009	2009	0	yes	4	5	6	7	8	9	10	11
239152149		male	2014	AHY	2010	AHY	2009	2009	0	yes	4	5	6	7	8	9	10	11
239152142		male	2014	AHY	2011	AHY	2009	2009	0	yes	4	5	6	7	8	9	10	11
222154155		male	2014	AHY	2010	AHY	2009	2009	0	yes	4	5	6	7	8	9	10	11
